,File,Date,Description,Original value,Currency,Budget 0,Manual bgt
0,Lag USA20 - Losses,2019-05-01,FX adjustment,-315.83,USD,FX adjustment,
1,Lag USA20 - Losses,2019-05-01,FX adjustment,-35.28,USD,FX adjustment,
2,Lag USA20 - Losses,2019-05-01,Restaurant,-6.44,USD,Restaurant,
3,Lag USA20 - Losses,2019-05-01,Supermarket,-35.29,USD,Supermarket,
4,Lag USA20 - Losses,2019-05-01,Deposit US,-1700.0,USD,,
5,Lag USA20 - Losses,2019-05-01,Other Mid,-82.14,USD,Other mid,
6,Lag USA20 - Losses,2019-05-01,EK clothes,-20.0,USD,EK clothes,
7,Lag USA20 - Losses,2019-05-01,MN clothes,-20.0,USD,MN clothes,
8,Lag USA20 - Losses,2019-05-01,EK kung fu,-75.0,USD,EK kung fu,
9,Lag USA20 - Losses,2019-05-01,MN kung fu,-75.0,USD,MN kung fu,
10,Lag USA20 - Losses,2019-05-01,BR furniture,1674.01179487179,USD,,
11,Lag USA20 - Losses,2019-05-01,Bar,-29.85,USD,Bar,
12,Lag USA20 - Losses,2019-05-01,Restaurant,-318.8300000000001,USD,Restaurant,
13,Lag USA20 - Losses,2019-05-01,NE trips,-298.09,USD,Other NE trips,
14,Lag USA20 - Losses,2019-05-01,Supermarket,-113.53999999999999,USD,Supermarket,
15,Lag USA20 - Losses,2019-05-01,Other leisure,-30.92,USD,Other leisure,
16,Lag USA20 - Losses,2019-05-01,EK loan termination,-100.0,USD,EK Loan termination,
17,Lag USA20 - Losses,2019-05-01,Rent,-2088.75,USD,Rent,
18,Lag USA20 - Losses,2019-05-01,Booze,-12.36,USD,Booze,
19,Lag USA20 - Losses,2019-05-01,Medicine,-8.8,USD,Medicine,
20,Lag USA20 - Losses,2019-05-01,Other Mid,-66.75999999999999,USD,Other mid,
21,Lag USA20 - Losses,2019-05-01,Other EK free,-30.0,USD,Other EK free,
22,Lag USA20 - Losses,2019-05-01,Metro,-220.0,USD,Metro fee,
23,Lag USA20 - Losses,2019-05-01,Cellphone,-82.5,USD,Cellphone bill,
24,Lag USA20 - Losses,2019-05-01,EK kung fu,-171.9,BRL,EK kung fu,
25,Lag USA20 - Losses,2019-05-01,MN kung fu,-171.9,BRL,MN kung fu,
26,Lag USA20 - Losses,2019-05-01,Ajuste Vale,129.0,BRL,Diageo benefits,
27,Lag USA20 - Losses,2019-05-01,Ap BR painting,-1100.0,BRL,,
28,Lag USA20 - Losses,2019-05-01,BR Furniture freight,-2480.0,BRL,,
29,Lag USA20 - Losses,2019-05-01,Heating,-9.92,BRL,Heating,
30,Lag USA20 - Losses,2019-05-01,Internet,-325.55999999999995,BRL,Internet,
31,Lag USA20 - Losses,2019-05-01,Other Mid,-9.9,BRL,Other mid,
32,Lag USA20 - Losses,2019-05-01,Rent,-2855.12,BRL,Rent,
33,Lag USA20 - Losses,2019-05-01,Venda cota,200.0,BRL,Diageo benefits,
34,Lag USA20 - Losses,2019-05-01,Bar,-308.0,BRL,Bar,
35,Lag USA20 - Losses,2019-05-01,Medicine,-139.8,BRL,Medicine,
36,Lag USA20 - Losses,2019-05-01,Other Mid,230.89,BRL,Other mid,
37,Lag USA20 - Losses,2019-05-01,Restaurant,-361.47999999999996,BRL,Restaurant,
38,Lag USA20 - Losses,2019-05-01,Supermarket,-94.41,BRL,Supermarket,
39,Lag USA20 - Losses,2019-05-01,BR trips,-822.95,BRL,Other GO trips,
40,Lag USA20 - Losses,2019-05-01,FSP,-29.9,BRL,Folha de SP,
41,Lag USA20 - Losses,2019-05-01,HBO,-34.9,BRL,,
42,Lag USA20 - Losses,2019-05-01,Netflix,-32.9,BRL,Netflix,
43,Lag USA20 - Losses,2019-05-01,Other Mid,275.39,BRL,Other mid,
44,Lag USA20 - Losses,2019-05-01,PFC,-79.9,BRL,PFC,
45,Lag USA20 - Losses,2019-05-01,Restaurant,-9.52,BRL,Restaurant,
46,Lag USA20 - Losses,2019-05-01,Spotify,-26.9,BRL,Spotify,
47,Lag USA20 - Losses,2019-05-01,Uber,-604.9600000000002,BRL,Uber,
48,Lag USA20 - Losses,2019-05-01,Credit card,-9329.009999999998,BRL,Credit card,
49,Lag USA20 - Losses,2019-05-01,Other mid,-205.0,BRL,Other mid,
50,Lag USA20 - Losses,2019-05-01,Restaurant,-31.21,BRL,Restaurant,
51,Lag USA20 - Losses,2019-05-01,Restaurant,-700.0,BRL,Restaurant,
52,Lag USA20 - Losses,2019-05-01,FX adjustment,12.25,USD,FX adjustment,
53,Lag USA20 - Losses,2019-05-01,Adjustment,-306.11,USD,Adjustment,
54,Lag USA20 - Losses,2019-06-01,FX adjustment,113.856452521148,USD,FX adjustment,
55,Lag USA20 - Losses,2019-06-01,FX adjustment,29.4616485366494,USD,FX adjustment,
56,Lag USA20 - Losses,2019-06-01,Medicine,-22.72,USD,Medicine,
57,Lag USA20 - Losses,2019-06-01,Restaurant,-50.51,USD,Restaurant,
58,Lag USA20 - Losses,2019-06-01,US Furniture ,-367.46,USD,US Furniture ,
59,Lag USA20 - Losses,2019-06-01,Supermarket,-116.76,USD,Supermarket,
60,Lag USA20 - Losses,2019-06-01,Gifts,-61.56,USD,Other gifts,
61,Lag USA20 - Losses,2019-06-01,BS reimbursement,31.61,USD,Concur,
62,Lag USA20 - Losses,2019-06-01,Netflix,-49.03,USD,Netflix,
63,Lag USA20 - Losses,2019-06-01,Metro,-105.0,USD,Metro fee,
64,Lag USA20 - Losses,2019-06-01,BR trips,-1270.42,USD,Other GO trips,
65,Lag USA20 - Losses,2019-06-01,Bar,-112.79,USD,Bar,
66,Lag USA20 - Losses,2019-06-01,US Furniture ,-2192.0,USD,US Furniture ,
67,Lag USA20 - Losses,2019-06-01,Cellphone,-85.36,USD,Cellphone bill,
68,Lag USA20 - Losses,2019-06-01,Rent,-1711.58,USD,Rent,
69,Lag USA20 - Losses,2019-06-01,Other MN free,-25.34,USD,Other MN free,
70,Lag USA20 - Losses,2019-06-01,Other Mid,-106.99,USD,Other mid,
71,Lag USA20 - Losses,2019-06-01,Supermarket,-120.32,USD,Supermarket,
72,Lag USA20 - Losses,2019-06-01,BS reimbursement,-110.43,USD,Concur,
73,Lag USA20 - Losses,2019-06-01,EK Loan termination,-100.0,USD,EK Loan termination,
74,Lag USA20 - Losses,2019-06-01,Netflix,-13.49,USD,Netflix,
75,Lag USA20 - Losses,2019-06-01,Restaurant,-194.35,USD,Restaurant,
76,Lag USA20 - Losses,2019-06-01,Medicine,-76.04,USD,Medicine,
77,Lag USA20 - Losses,2019-06-01,EK kung fu,-70.0,USD,EK kung fu,
78,Lag USA20 - Losses,2019-06-01,MN kung fu,-70.0,USD,MN kung fu,
79,Lag USA20 - Losses,2019-06-01,Metro,-115.0,USD,Metro fee,
80,Lag USA20 - Losses,2019-06-01,Bar,-74.9,USD,Bar,
81,Lag USA20 - Losses,2019-06-01,US Furniture ,-104.5,USD,US Furniture ,
82,Lag USA20 - Losses,2019-06-01,Other leisure,-15.69,USD,Other leisure,
83,Lag USA20 - Losses,2019-06-01,US Furniture ,-1639.0,USD,US Furniture ,
84,Lag USA20 - Losses,2019-06-01,US Furniture ,-557.61,USD,US Furniture ,
85,Lag USA20 - Losses,2019-06-01,Cellphone,-179.97,BRL,Cellphone bill,
